platform,nama_pengguna,tanggal_komentar,komentar,rating,teks_cleaning,teks_casefolding,teks_normalisasi,teks_stemming,sentimen,skor_keyakinan,sentimen_rating,sentimen_prediksi,keyakinan_prediksi
Google Play Store,fiyan galang,7/27/2026,GAK LENGKAP,1.0,GAK LENGKAP,gak lengkap,tidak lengkap,tidak lengkap,negatif,0.9999,negatif,negatif,0.999
Google Play Store,Lestari Okta Geni,7/6/2026,so far oke untuk pilihan propertinya. Sedikit saran agar koordinasi dengan staf yang diproperti lebih smooth lagi agar tidak ada miss-information. terimakasih ya,5.0,so far oke untuk pilihan propertinya Sedikit saran agar koordinasi dengan staf yang diproperti lebih smooth lagi agar tidak ada miss information terimakasih ya,so far oke untuk pilihan propertinya sedikit saran agar koordinasi dengan staf yang diproperti lebih smooth lagi agar tidak ada miss information terimakasih ya,sok far baik untuk pilihan propertinya sedikit saran agar koordinasi dengan staf yang diproperti lebih smooth lagi agar tidak ada miss information terimakasih ya,sok far baik pilih properti sedikit saran koordinasi staf properti lebih smooth tidak miss information terimakasih,negatif,0.9998,positif,negatif,0.9973
Google Play Store,Alm EDM,7/3/2026,nice place & affordable,5.0,nice place affordable,nice place affordable,nice place affordable,nice place affordable,netral,0.9995,positif,netral,0.9975
Google Play Store,Fernando Shcolast,6/30/2026,"pertama dan terakhir. gw ud chat admin, mau co smpe tengah bln doang tgl 19 juni. tapi gw bayar full. ud confirm jg ke penjaga kost. gw pikir ok. taunya akhir bln dikirimin invoice lagi dong. dan ujungnya deposit gw disita alasan denda krn ga isi form. yang tim mereka ga kirim ke gw. lintah darat bgt",1.0,pertama dan terakhir gw ud chat admin mau co smpe tengah bln doang tgl juni tapi gw bayar full ud confirm jg ke penjaga kost gw pikir ok taunya akhir bln dikirimin invoice lagi dong dan ujungnya deposit gw disita alasan denda krn ga isi form yang tim mereka ga kirim ke gw lintah darat bgt,pertama dan terakhir gw ud chat admin mau co smpe tengah bln doang tgl juni tapi gw bayar full ud confirm jg ke penjaga kost gw pikir ok taunya akhir bln dikirimin invoice lagi dong dan ujungnya deposit gw disita alasan denda krn ga isi form yang tim mereka ga kirim ke gw lintah darat bgt,pertama dan terakhir saya sudah chat pengelola ingin cowok sampai tengah bulan doang tanggal juni tetapi saya bayar full sudah confirm juga ke penjaga kos saya pikir baik taunya akhir bulan dikirimin invoice lagi dan ujungnya deposit saya disita alasan denda karena tidak isi form yang tim mereka tidak kirim ke saya lintah darat sangat,pertama akhir chat kelola cowok tengah bulan doang tanggal juni bayar full confirm jaga pikir baik tau akhir bulan dikirimin invoice ujung deposit sita alas denda tidak isi form tim tidak kirim lintah darat sangat,negatif,0.9998,negatif,negatif,0.9987
Google Play Store,Julius Ariyanto,6/8/2026,"pelayanannya payah, uang bayar lewat qris nyangkut. susahnya ga solutif pelayanannya.",1.0,pelayanannya payah uang bayar lewat qris nyangkut susahnya ga solutif pelayanannya,pelayanannya payah uang bayar lewat qris nyangkut susahnya ga solutif pelayanannya,pelayanannya payah uang bayar lewat qris nyangkut susahnya tidak solutif pelayanannya,layan payah uang bayar lewat qris nyangkut susah tidak solutif layan,negatif,0.9999,negatif,negatif,0.9988
Google Play Store,Mahesa P.S,5/24/2026,gagal saat pendaftaran email.. error status code 429,1.0,gagal saat pendaftaran email error status code,gagal saat pendaftaran email error status code,gagal saat pendaftaran email error status code,gagal daftar email error status code,negatif,0.9978,negatif,negatif,0.932
Google Play Store,Putri Ayu lestari,5/16/2026,"respon admin slow nya tuh slow bgt bgtttt, dari dulu slalu gagal tiap mau checkin disini🤣karna yg tadinya kamar masih sisa, karna hrs konfirmasi ke admin yg sangat slow respon, kamar jadi full lgi, dan slalu begitu dari dulu🫠🤣",1.0,respon admin slow nya tuh slow bgt bgtt dari dulu slalu gagal tiap mau checkin disini karna yg tadinya kamar masih sisa karna hrs konfirmasi ke admin yg sangat slow respon kamar jadi full lgi dan slalu begitu dari dulu,respon admin slow nya tuh slow bgt bgtt dari dulu slalu gagal tiap mau checkin disini karna yg tadinya kamar masih sisa karna hrs konfirmasi ke admin yg sangat slow respon kamar jadi full lgi dan slalu begitu dari dulu,tanggapan pengelola lambat nya itu lambat sangat sangat dari dulu selalu gagal tiap ingin masuk disini karena yang tadinya kamar masih sisa karena harus konfirmasi ke pengelola yang sangat lambat tanggapan kamar jadi full lagi dan selalu begitu dari dulu,tanggap kelola lambat lambat sangat sangat dulu selalu gagal tiap masuk sini tadi kamar sisa konfirmasi kelola sangat lambat tanggap kamar jadi full selalu dulu,negatif,0.999,negatif,negatif,0.9987
Google Play Store,Muh Alfan,5/12/2026,sangat membantu,4.0,sangat membantu,sangat membantu,sangat membantu,sangat bantu,positif,0.9996,positif,positif,0.9991
Google Play Store,Naura Abdilla Nur Aini,4/16/2026,"kalo udh full tolong di update di aplikasi, ini di aplikasi masih sisa beberapa tempat eh pas survei penuh",1.0,kalo udh full tolong di update di aplikasi ini di aplikasi masih sisa beberapa tempat eh pas survei penuh,kalo udh full tolong di update di aplikasi ini di aplikasi masih sisa beberapa tempat eh pas survei penuh,kalau sudah full tolong di pembaruan di aplikasi ini di aplikasi masih sisa beberapa tempat eh pas survei penuh,kalau full baru aplikasi aplikasi sisa beberapa tempat pas survei penuh,netral,0.9995,negatif,netral,0.999
Google Play Store,niken cezilia,3/28/2026,"So far, I feel comfortable and not disturbed; the guards and security staff are friendly.",5.0,So far I feel comfortable and not disturbed the guards and security staff are friendly,so far i feel comfortable and not disturbed the guards and security staff are friendly,sok far i feel comfortable and not disturbed the guards and security staff are friendly,sok far feel comfortable and not disturbed the guards and security staff are friendly,netral,0.9927,positif,netral,0.9642
Google Play Store,Indra,3/23/2026,sign in ga berfungsi,1.0,sign in ga berfungsi,sign in ga berfungsi,sign ini tidak berfungsi,sign tidak fungsi,negatif,0.9998,negatif,negatif,0.9977
Google Play Store,Sonah Maria,2/26/2026,daerah Antasari harga murah,5.0,daerah Antasari harga murah,daerah antasari harga murah,daerah antasari harga murah,daerah antasari harga murah,positif,0.9997,positif,positif,0.999
Google Play Store,mochammad zaifudin,2/5/2026,The apps is fine but the room of Cove Gran Inn really bad. The image and actual room are far different. Decided to waste my millions as I dont want get sick by the dirty room.,1.0,The apps is fine but the room of Cove Gran Inn really bad The image and actual room are far different Decided to waste my millions as I dont want get sick by the dirty room,the apps is fine but the room of cove gran inn really bad the image and actual room are far different decided to waste my millions as i dont want get sick by the dirty room,the apps is fine but the room of cove gran ini really bad the image and actual room are far different decided tetapi waste my millions as i dont want get sick by the dirty room,the apps fine but the room gran really bad the image and actual room are far different decided waste millions dont want get sick the dirty room,negatif,0.7282,negatif,negatif,0.9979
Google Play Store,Putu Kariana,11/19/2025,bad respon aplikasi ini ketika komunikasi di whats app,1.0,bad respon aplikasi ini ketika komunikasi di whats app,bad respon aplikasi ini ketika komunikasi di whats app,bad tanggapan aplikasi ini ketika komunikasi di whats aplikasi,bad tanggap aplikasi komunikasi whats aplikasi,netral,0.9998,negatif,netral,0.999
Google Play Store,Kirito SAO,11/11/2025,aplikasi ga bs di akses bufering terusssss apalagi cek location,1.0,aplikasi ga bs di akses bufering teruss apalagi cek location,aplikasi ga bs di akses bufering teruss apalagi cek location,aplikasi tidak bisa di akses bufering terus apalagi cek location,aplikasi tidak akses bufering terus cek location,negatif,0.8673,negatif,negatif,0.6077
Google Play Store,Davin Satyaputra,11/11/2025,Saya tgl 10 November menginap di cove stariez. Saat check in diminta deposit KTP dan mau checkout jam 8 pagi tidak ada petugas jaga. Sangat mengecewakan khususnya di Cove Stariez Karawaci. Bel jga tidak berfungsi.,2.0,Saya tgl November menginap di cove stariez Saat check in diminta deposit KTP dan mau checkout jam pagi tidak ada petugas jaga Sangat mengecewakan khususnya di Cove Stariez Karawaci Bel jga tidak berfungsi,saya tgl november menginap di cove stariez saat check in diminta deposit ktp dan mau checkout jam pagi tidak ada petugas jaga sangat mengecewakan khususnya di cove stariez karawaci bel jga tidak berfungsi,saya tanggal november menginap di cove stariez saat check ini diminta deposit ktp dan ingin keluar jam pagi tidak ada petugas jaga sangat mengecewakan khususnya di cove stariez karawaci bel juga tidak berfungsi,tanggal november inap stariez check minta deposit ktp keluar jam pagi tidak tugas jaga sangat kecewa khusus stariez karawaci bel tidak fungsi,negatif,0.9998,negatif,negatif,0.9987
